Generation,Population Size,Crossover Used,Best Fitness,Mean Fitness
0,1280,uniform_crossover,28.0,15.1734375
1,1280,uniform_crossover,28.0,16.62421875
2,1280,uniform_crossover,28.0,17.80390625
3,1280,uniform_crossover,28.0,18.6484375
4,1280,uniform_crossover,29.0,19.3796875
5,1280,uniform_crossover,29.0,20.00703125
6,1280,uniform_crossover,29.0,20.6109375
7,1280,uniform_crossover,29.0,21.053125
8,1280,uniform_crossover,31.0,21.4640625
9,1280,uniform_crossover,31.0,21.853125
10,1280,uniform_crossover,31.0,22.19140625
11,1280,uniform_crossover,32.0,22.48671875
12,1280,uniform_crossover,32.0,22.7921875
13,1280,uniform_crossover,32.0,23.0828125
14,1280,uniform_crossover,32.0,23.35625
15,1280,uniform_crossover,32.0,23.5921875
16,1280,uniform_crossover,32.0,23.80625
17,1280,uniform_crossover,32.0,24.0
18,1280,uniform_crossover,32.0,24.1625
19,1280,uniform_crossover,32.0,24.31484375
20,1280,uniform_crossover,32.0,24.490625
21,1280,uniform_crossover,32.0,24.62109375
22,1280,uniform_crossover,32.0,24.8046875
23,1280,uniform_crossover,32.0,24.9453125
24,1280,uniform_crossover,32.0,25.12109375
25,1280,uniform_crossover,32.0,25.2671875
26,1280,uniform_crossover,32.0,25.3953125
27,1280,uniform_crossover,32.0,25.52421875
28,1280,uniform_crossover,32.0,25.64453125
29,1280,uniform_crossover,32.0,25.75
30,1280,uniform_crossover,32.0,25.85703125
31,1280,uniform_crossover,32.0,25.93828125
32,1280,uniform_crossover,32.0,26.03046875
33,1280,uniform_crossover,32.0,26.15625
34,1280,uniform_crossover,32.0,26.25078125
35,1280,uniform_crossover,33.0,26.35078125
36,1280,uniform_crossover,33.0,26.45234375
37,1280,uniform_crossover,33.0,26.57265625
38,1280,uniform_crossover,33.0,26.6796875
39,1280,uniform_crossover,33.0,26.76640625
40,1280,uniform_crossover,33.0,26.84375
41,1280,uniform_crossover,33.0,26.94140625
42,1280,uniform_crossover,33.0,27.021875
43,1280,uniform_crossover,33.0,27.12109375
44,1280,uniform_crossover,33.0,27.1953125
45,1280,uniform_crossover,33.0,27.29375
46,1280,uniform_crossover,33.0,27.3625
47,1280,uniform_crossover,33.0,27.47578125
48,1280,uniform_crossover,33.0,27.54140625
49,1280,uniform_crossover,33.0,27.6078125
