Generation,Population Size,Crossover Used,Best Fitness,Mean Fitness
0,1120,two_point_crossover,18.5,9.517857142857142
1,1120,two_point_crossover,20.0,10.784375
2,1120,two_point_crossover,20.0,11.793303571428572
3,1120,two_point_crossover,21.5,12.68125
4,1120,two_point_crossover,22.0,13.450892857142858
5,1120,two_point_crossover,22.0,14.138392857142858
6,1120,two_point_crossover,27.0,14.720982142857142
7,1120,two_point_crossover,27.0,15.340178571428572
8,1120,two_point_crossover,27.0,15.86875
9,1120,two_point_crossover,27.0,16.40357142857143
10,1120,two_point_crossover,27.0,16.94375
11,1120,two_point_crossover,27.0,17.466517857142858
12,1120,two_point_crossover,27.0,18.007142857142856
13,1120,two_point_crossover,27.0,18.429464285714285
14,1120,two_point_crossover,27.0,18.884375
15,1120,two_point_crossover,28.0,19.345982142857142
16,1120,two_point_crossover,28.0,19.795089285714287
17,1120,two_point_crossover,28.0,20.291964285714286
18,1120,two_point_crossover,30.0,20.738392857142856
19,1120,two_point_crossover,30.0,21.19017857142857
20,1120,two_point_crossover,30.0,21.670535714285716
21,1120,two_point_crossover,30.5,22.10892857142857
22,1120,two_point_crossover,30.5,22.555803571428573
23,1120,two_point_crossover,33.5,23.05625
24,1120,two_point_crossover,33.5,23.53035714285714
25,1120,two_point_crossover,33.5,24.04330357142857
26,1120,two_point_crossover,33.5,24.539732142857144
27,1120,two_point_crossover,34.5,25.01517857142857
28,1120,two_point_crossover,34.5,25.575
29,1120,two_point_crossover,34.5,26.14419642857143
30,1120,two_point_crossover,34.5,26.739732142857143
31,1120,two_point_crossover,34.5,27.254910714285714
32,1120,two_point_crossover,34.5,27.86875
33,1120,two_point_crossover,37.0,28.567857142857143
34,1120,two_point_crossover,37.0,29.210267857142856
35,1120,two_point_crossover,37.0,29.73526785714286
36,1120,two_point_crossover,37.0,30.285267857142856
37,1120,two_point_crossover,37.0,30.805803571428573
38,1120,two_point_crossover,37.0,31.261607142857144
39,1120,two_point_crossover,37.0,31.730357142857144
40,1120,two_point_crossover,37.0,32.151339285714286
41,1120,two_point_crossover,37.0,32.54375
42,1120,two_point_crossover,37.0,32.879910714285714
43,1120,two_point_crossover,40.0,33.15758928571429
