Generation,Population Size,Crossover Used,Best Fitness,Mean Fitness
0,40,two_point_crossover,27.0,21.85
1,40,two_point_crossover,28.0,23.5
2,40,two_point_crossover,28.0,24.675
3,40,two_point_crossover,30.0,26.1
4,40,two_point_crossover,31.0,27.625
5,40,two_point_crossover,31.0,28.65
6,40,two_point_crossover,32.0,29.675
7,40,two_point_crossover,32.0,30.425
8,40,two_point_crossover,33.0,31.1
9,40,two_point_crossover,34.0,31.825
10,40,two_point_crossover,35.0,32.425
11,40,two_point_crossover,35.0,32.925
12,40,two_point_crossover,36.0,33.375
13,40,two_point_crossover,36.0,33.95
14,40,two_point_crossover,37.0,34.725
15,40,two_point_crossover,37.0,35.45
16,40,two_point_crossover,37.0,36.025
17,40,two_point_crossover,38.0,36.5
18,40,two_point_crossover,38.0,37.05
19,40,two_point_crossover,38.0,37.375
20,40,two_point_crossover,38.0,37.625
21,40,two_point_crossover,38.0,37.825
22,40,two_point_crossover,39.0,37.95
23,40,two_point_crossover,39.0,38.1
24,40,two_point_crossover,39.0,38.2
25,40,two_point_crossover,39.0,38.425
26,40,two_point_crossover,39.0,38.7
27,40,two_point_crossover,39.0,38.8
28,40,two_point_crossover,39.0,38.95
29,40,two_point_crossover,39.0,39.0
30,40,two_point_crossover,39.0,39.0
31,40,two_point_crossover,39.0,39.0
32,40,two_point_crossover,39.0,39.0
33,40,two_point_crossover,39.0,39.0
34,40,two_point_crossover,39.0,39.0
35,40,two_point_crossover,39.0,39.0
36,40,two_point_crossover,39.0,39.0
37,40,two_point_crossover,39.0,39.0
38,40,two_point_crossover,39.0,39.0
39,40,two_point_crossover,39.0,39.0
40,40,two_point_crossover,39.0,39.0
41,40,two_point_crossover,39.0,39.0
42,40,two_point_crossover,39.0,39.0
43,40,two_point_crossover,39.0,39.0
44,40,two_point_crossover,39.0,39.0
45,40,two_point_crossover,39.0,39.0
